team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
SJS,2023,SJS,SJS,Team Level,5on4,39,0.77,0.79,0.76,9459.0,129.73,15.63,12.04,29.41,4.81,77.84,41.27,14.89,15.63,14.89,122.0,59.0,77.0,258.0,17.0,17.0,1.0,19.0,0.0,70.0,58.0,105.0,164.0,10.0,20.0,89.0,7.0,8.0,10.0,119.0,41.0,21.0,3.11,4.64,7.87,4.0,6.0,7.0,258.0,181.0,181.0,1.0,3.19,2.63,2.56,16.25,16.25,15.66,41.92,4.68,2.11,6.21,1.35,13.11,28.55,4.48,4.68,4.48,44.0,12.0,11.0,67.0,4.0,6.0,2.0,3.0,0.0,6.0,37.0,40.0,52.0,2.0,4.0,73.0,19.0,18.0,8.0,39.0,10.0,7.0,1.29,1.34,2.05,1.0,2.0,1.0,67.0,56.0,56.0,6.0,0.49,1.31,1.31,3.86,3.86,3.78
MTL,2023,MTL,MTL,Team Level,other,38,0.46,0.44,0.46,4949.0,78.05,13.04,5.57,15.16,2.64,40.29,29.3,12.61,13.04,12.61,75.0,31.0,23.0,129.0,14.0,8.0,1.0,7.0,0.0,30.0,47.0,61.0,92.0,3.0,4.0,71.0,15.0,16.0,11.0,54.0,36.0,16.0,2.36,4.32,6.36,3.0,3.0,8.0,129.0,106.0,106.0,7.0,1.57,2.06,2.06,12.55,12.55,12.27,90.95,15.24,6.82,17.08,2.93,48.73,31.19,14.49,15.24,14.49,92.0,30.0,39.0,161.0,22.0,9.0,3.0,15.0,1.0,43.0,32.0,70.0,100.0,6.0,12.0,51.0,15.0,18.0,11.0,76.0,25.0,21.0,2.68,2.96,9.61,3.0,7.0,12.0,161.0,122.0,122.0,6.0,1.91,3.41,3.21,13.94,13.94,13.76
MTL,2023,MTL,MTL,Team Level,all,38,0.46,0.47,0.47,139711.0,1138.33,110.6,80.03,272.32,38.8,620.08,453.17,105.86,110.19,105.47,1086.0,489.0,603.0,2178.0,104.0,112.0,17.0,201.0,7.0,554.0,597.0,982.0,1471.0,163.0,363.0,1133.0,670.0,197.0,357.0,1148.0,302.0,125.0,33.13,37.52,39.95,39.0,28.0,37.0,2153.1,1575.0,1561.28,253.0,17.92,24.52,24.52,103.99,103.52,101.29,1290.68,130.95,90.73,307.87,43.49,696.24,502.73,125.14,131.9,126.06,1257.0,515.0,719.0,2491.0,131.0,137.0,15.0,264.0,10.0,611.0,619.0,1126.0,1641.0,158.0,360.0,954.0,679.0,278.0,390.0,1309.0,311.0,152.0,36.96,39.26,54.72,42.0,45.0,44.0,2528.27,1772.0,1795.93,286.0,20.37,29.36,29.5,121.81,122.77,120.08
MTL,2023,MTL,MTL,Team Level,5on5,38,0.47,0.47,0.47,110810.0,852.23,73.38,56.14,214.28,29.14,459.92,347.14,70.27,72.97,69.88,801.0,379.0,491.0,1671.0,65.0,85.0,13.0,158.0,4.0,418.0,450.0,736.0,1115.0,142.0,317.0,844.0,632.0,155.0,301.0,890.0,215.0,75.0,25.01,27.02,21.35,28.0,23.0,14.0,1646.1,1180.0,1166.28,219.0,11.7,18.24,18.24,66.84,66.37,65.17,963.99,83.49,63.53,244.26,33.14,520.5,386.09,80.04,84.44,80.97,923.0,408.0,575.0,1906.0,70.0,104.0,9.0,214.0,9.0,459.0,475.0,853.0,1261.0,135.0,308.0,706.0,614.0,226.0,325.0,1003.0,239.0,89.0,28.48,30.43,24.57,32.0,31.0,7.0,1943.27,1331.0,1354.93,243.0,13.2,20.64,21.47,75.21,76.17,74.73
MTL,2023,MTL,MTL,Team Level,4on5,38,0.09,0.11,0.12,11651.0,27.11,2.69,1.44,4.13,0.92,8.92,18.91,2.68,2.69,2.68,31.0,6.0,8.0,45.0,4.0,0.0,0.0,2.0,1.0,1.0,29.0,27.0,33.0,6.0,15.0,104.0,17.0,16.0,27.0,28.0,4.0,5.0,0.75,0.55,1.39,2.0,0.0,2.0,45.0,37.0,37.0,26.0,0.33,0.0,0.0,3.02,3.02,3.01,197.01,28.65,18.52,40.22,6.22,114.81,58.59,27.23,28.65,27.23,198.0,69.0,103.0,370.0,33.0,21.0,2.0,31.0,0.0,101.0,81.0,165.0,234.0,8.0,19.0,106.0,7.0,5.0,17.0,189.0,41.0,37.0,4.64,5.2,18.81,4.0,6.0,23.0,370.0,267.0,267.0,1.0,4.83,4.37,3.99,29.49,29.49,28.43
MTL,2023,MTL,MTL,Team Level,5on4,38,0.86,0.86,0.83,12301.0,180.93,21.49,16.88,38.75,6.1,110.95,57.82,20.29,21.49,20.29,179.0,73.0,81.0,333.0,21.0,19.0,3.0,34.0,2.0,105.0,71.0,158.0,231.0,12.0,27.0,114.0,6.0,10.0,18.0,176.0,47.0,29.0,5.01,5.63,10.85,6.0,2.0,13.0,333.0,252.0,252.0,1.0,4.32,4.22,4.22,21.59,21.59,20.84,38.73,3.57,1.85,6.31,1.2,12.22,26.85,3.39,3.57,3.39,44.0,8.0,2.0,54.0,6.0,3.0,1.0,4.0,0.0,8.0,31.0,38.0,46.0,9.0,21.0,91.0,43.0,29.0,37.0,41.0,6.0,5.0,1.15,0.67,1.75,3.0,1.0,2.0,54.0,52.0,52.0,36.0,0.43,0.94,0.82,3.18,3.18,3.16
NSH,2023,NSH,NSH,Team Level,other,39,0.54,0.57,0.58,5210.0,84.91,18.75,6.47,16.66,3.09,42.8,24.23,16.49,18.75,16.49,81.0,31.0,37.0,149.0,18.0,12.0,1.0,13.0,2.0,38.0,29.0,63.0,94.0,3.0,6.0,51.0,16.0,11.0,8.0,56.0,27.0,29.0,2.09,3.18,13.48,4.0,3.0,11.0,149.0,112.0,112.0,5.0,1.91,4.33,4.13,16.53,16.53,15.52,60.91,16.06,4.22,10.35,1.95,30.3,19.13,15.33,16.06,15.33,54.0,28.0,29.0,111.0,15.0,8.0,4.0,5.0,3.0,28.0,23.0,39.0,67.0,1.0,2.0,58.0,11.0,7.0,9.0,36.0,23.0,23.0,1.31,2.78,11.98,3.0,2.0,10.0,111.0,82.0,82.0,2.0,1.23,3.59,3.59,13.7,13.7,13.45
NSH,2023,NSH,NSH,Team Level,all,39,0.53,0.51,0.51,141331.0,1252.41,130.82,88.95,300.53,43.13,670.97,480.59,123.72,131.41,124.2,1190.0,525.0,636.0,2351.0,120.0,142.0,21.0,240.0,8.0,580.0,625.0,1070.0,1595.0,152.0,357.0,1071.0,863.0,272.0,382.0,1205.0,356.0,154.0,34.46,44.5,51.86,35.0,41.0,44.0,2360.74,1715.0,1721.97,207.0,20.06,30.77,30.83,120.05,120.23,116.97,1210.19,116.9,82.48,292.69,41.66,643.7,475.57,112.32,117.51,112.94,1191.0,462.0,627.0,2280.0,122.0,115.0,15.0,234.0,4.0,597.0,581.0,1069.0,1531.0,155.0,361.0,1109.0,770.0,261.0,403.0,1229.0,293.0,131.0,34.18,36.21,46.5,41.0,37.0,44.0,2281.63,1653.0,1654.76,233.0,18.47,23.34,23.38,111.99,112.67,110.36
NSH,2023,NSH,NSH,Team Level,5on5,39,0.52,0.5,0.5,111594.0,933.48,83.64,62.04,236.71,32.12,496.94,371.55,80.35,84.22,80.83,882.0,401.0,498.0,1781.0,70.0,96.0,13.0,187.0,5.0,436.0,489.0,812.0,1213.0,132.0,317.0,823.0,802.0,227.0,318.0,937.0,254.0,92.0,26.15,32.48,25.01,24.0,28.0,18.0,1790.74,1283.0,1289.97,181.0,12.97,18.16,18.69,77.92,78.1,76.68,934.64,77.18,60.0,237.53,32.47,496.61,377.22,74.65,77.79,75.27,920.0,361.0,500.0,1781.0,78.0,79.0,9.0,199.0,1.0,462.0,462.0,842.0,1203.0,142.0,333.0,813.0,708.0,217.0,339.0,968.0,237.0,76.0,26.68,29.35,21.14,33.0,30.0,15.0,1782.63,1281.0,1282.76,209.0,12.49,15.94,16.27,73.4,74.08,72.98
NSH,2023,NSH,NSH,Team Level,4on5,39,0.16,0.13,0.15,12303.0,34.88,3.8,1.83,5.13,1.08,10.09,23.09,3.69,3.8,3.69,32.0,13.0,8.0,53.0,5.0,5.0,1.0,1.0,0.0,8.0,26.0,27.0,40.0,5.0,10.0,69.0,37.0,28.0,18.0,26.0,14.0,5.0,0.77,1.61,1.41,1.0,3.0,1.0,53.0,45.0,45.0,16.0,0.43,1.11,1.11,3.11,3.11,3.09,183.29,20.46,16.98,40.38,6.35,107.82,58.0,19.14,20.46,19.14,182.0,68.0,94.0,344.0,26.0,28.0,2.0,23.0,0.0,103.0,70.0,156.0,224.0,5.0,10.0,132.0,10.0,11.0,34.0,193.0,30.0,27.0,5.23,3.68,11.56,5.0,4.0,17.0,344.0,250.0,250.0,3.0,4.45,3.81,3.51,21.4,21.4,20.44
NSH,2023,NSH,NSH,Team Level,5on4,39,0.89,0.89,0.87,12224.0,199.13,24.64,18.63,42.03,6.85,121.13,61.72,23.19,24.64,23.19,195.0,80.0,93.0,368.0,27.0,29.0,6.0,39.0,1.0,98.0,81.0,168.0,248.0,12.0,24.0,128.0,8.0,6.0,38.0,186.0,61.0,28.0,5.45,7.23,11.96,6.0,7.0,14.0,368.0,275.0,275.0,5.0,4.74,7.17,6.89,22.49,22.49,21.68,31.35,3.2,1.29,4.43,0.9,8.97,21.23,3.19,3.2,3.19,35.0,5.0,4.0,44.0,3.0,0.0,0.0,7.0,0.0,4.0,26.0,32.0,37.0,7.0,16.0,106.0,41.0,26.0,21.0,32.0,3.0,5.0,0.97,0.41,1.82,0.0,1.0,2.0,44.0,40.0,40.0,19.0,0.3,0.0,0.0,3.5,3.5,3.49
NYR,2023,NYR,NYR,Team Level,other,37,0.53,0.48,0.49,5178.0,65.49,16.24,4.8,11.02,2.39,38.2,20.35,15.09,16.24,15.09,50.0,43.0,36.0,129.0,18.0,6.0,4.0,7.0,1.0,36.0,25.0,32.0,75.0,1.0,5.0,62.0,11.0,10.0,7.0,50.0,20.0,23.0,1.78,2.64,11.82,2.0,5.0,11.0,129.0,93.0,93.0,3.0,1.37,2.22,2.22,15.39,15.39,14.43,71.93,14.66,5.29,13.8,2.38,37.97,21.91,13.86,14.66,13.86,58.0,38.0,41.0,137.0,6.0,10.0,0.0,8.0,0.0,42.0,30.0,52.0,90.0,2.0,7.0,52.0,9.0,10.0,8.0,54.0,19.0,23.0,2.4,2.03,10.23,0.0,0.0,6.0,137.0,96.0,96.0,3.0,1.56,3.13,3.13,13.08,13.08,12.73
NYR,2023,NYR,NYR,Team Level,all,37,0.5,0.49,0.5,134573.0,1195.72,117.69,81.81,287.03,40.47,656.59,468.41,112.25,118.54,113.05,1136.0,516.0,572.0,2224.0,125.0,117.0,21.0,222.0,7.0,586.0,595.0,1011.0,1527.0,135.0,295.0,1105.0,643.0,237.0,246.0,1227.0,299.0,126.0,36.24,36.77,44.68,41.0,44.0,40.0,2242.5,1652.0,1666.4,141.0,18.17,25.5,25.55,110.31,110.99,107.44,1187.42,120.02,80.75,288.31,40.28,635.28,462.38,113.16,119.84,112.97,1094.0,533.0,645.0,2272.0,101.0,138.0,13.0,186.0,9.0,583.0,610.0,993.0,1526.0,139.0,308.0,935.0,585.0,204.0,251.0,1189.0,297.0,141.0,33.82,37.02,49.18,32.0,34.0,35.0,2251.1,1627.0,1615.04,126.0,18.12,28.24,28.28,109.86,109.61,106.0
NYR,2023,NYR,NYR,Team Level,5on5,37,0.5,0.49,0.5,108415.0,920.11,75.78,59.53,232.44,30.86,495.11,371.28,73.06,76.63,73.88,890.0,375.0,458.0,1723.0,75.0,93.0,13.0,188.0,6.0,424.0,479.0,815.0,1190.0,122.0,266.0,843.0,600.0,193.0,208.0,972.0,224.0,69.0,28.65,27.51,19.63,34.0,31.0,10.0,1741.5,1265.0,1279.4,122.0,12.36,17.89,18.23,69.91,70.59,69.24,918.24,75.76,59.48,232.96,31.15,490.41,369.25,73.1,75.58,72.91,855.0,404.0,516.0,1775.0,75.0,103.0,13.0,147.0,8.0,439.0,487.0,780.0,1184.0,118.0,263.0,710.0,541.0,175.0,208.0,958.0,226.0,75.0,26.38,28.75,20.63,31.0,27.0,17.0,1754.1,1259.0,1247.04,112.0,12.34,18.73,19.3,68.8,68.56,67.38
NYR,2023,NYR,NYR,Team Level,4on5,37,0.09,0.12,0.14,11028.0,27.46,2.89,1.52,4.22,0.9,8.91,18.56,2.86,2.89,2.86,26.0,11.0,5.0,42.0,3.0,1.0,0.0,0.0,0.0,8.0,25.0,23.0,34.0,8.0,16.0,86.0,25.0,25.0,16.0,25.0,6.0,6.0,0.61,0.69,1.59,1.0,1.0,1.0,42.0,37.0,37.0,15.0,0.35,0.29,0.29,2.94,2.94,2.92,171.87,27.66,14.72,38.17,5.86,98.38,52.21,24.29,27.66,24.29,151.0,86.0,82.0,319.0,18.0,25.0,0.0,29.0,1.0,95.0,69.0,133.0,219.0,13.0,26.0,108.0,13.0,3.0,24.0,152.0,43.0,42.0,4.45,5.09,18.12,1.0,5.0,12.0,319.0,237.0,237.0,1.0,3.93,6.38,5.85,25.74,25.74,23.69
NYR,2023,NYR,NYR,Team Level,5on4,37,0.92,0.89,0.88,9952.0,182.66,22.78,15.95,39.35,6.31,114.37,58.23,21.22,22.78,21.22,170.0,87.0,73.0,330.0,29.0,17.0,4.0,27.0,0.0,118.0,66.0,141.0,228.0,4.0,8.0,114.0,7.0,9.0,15.0,180.0,49.0,28.0,5.2,5.93,11.65,4.0,7.0,18.0,330.0,257.0,257.0,1.0,4.09,5.1,4.8,22.07,22.07,20.84,25.39,1.94,1.26,3.38,0.89,8.52,19.01,1.91,1.94,1.91,30.0,5.0,6.0,41.0,2.0,0.0,0.0,2.0,0.0,7.0,24.0,28.0,33.0,6.0,12.0,65.0,22.0,16.0,11.0,25.0,9.0,1.0,0.59,1.15,0.21,0.0,2.0,0.0,41.0,35.0,35.0,10.0,0.29,0.0,0.0,2.23,2.23,2.19
LAK,2023,LAK,LAK,Team Level,other,35,0.55,0.56,0.55,3062.0,49.37,10.98,3.46,8.93,1.73,25.93,17.98,9.6,10.98,9.6,41.0,28.0,32.0,101.0,12.0,4.0,0.0,5.0,0.0,25.0,23.0,29.0,57.0,3.0,6.0,43.0,8.0,5.0,8.0,37.0,16.0,16.0,1.34,1.91,7.73,5.0,0.0,7.0,101.0,69.0,69.0,4.0,0.94,0.9,0.9,11.02,11.02,9.96,42.04,8.98,2.65,7.57,1.32,20.33,15.15,8.82,8.98,8.82,30.0,26.0,24.0,80.0,6.0,2.0,0.0,1.0,0.0,17.0,30.0,24.0,50.0,1.0,2.0,32.0,8.0,10.0,8.0,29.0,13.0,14.0,1.07,1.58,6.33,1.0,1.0,4.0,80.0,56.0,56.0,4.0,0.77,0.56,0.56,9.19,9.19,9.13
LAK,2023,LAK,LAK,Team Level,all,35,0.56,0.56,0.56,127771.0,1268.7,125.99,86.72,305.84,42.89,679.3,501.25,119.44,127.46,120.86,1196.0,546.0,673.0,2415.0,118.0,146.0,13.0,240.0,4.0,609.0,625.0,1078.0,1624.0,126.0,290.0,1042.0,582.0,160.0,273.0,1275.0,317.0,150.0,35.24,39.99,50.76,36.0,40.0,42.0,2462.97,1742.0,1770.97,184.0,19.22,29.67,29.67,115.54,116.77,113.19,995.67,97.06,70.46,231.97,33.1,544.78,393.63,90.04,97.15,90.11,937.0,434.0,538.0,1909.0,83.0,94.0,15.0,203.0,5.0,487.0,499.0,854.0,1288.0,138.0,308.0,991.0,690.0,181.0,250.0,1022.0,247.0,102.0,29.6,29.85,37.61,29.0,30.0,24.0,1888.34,1371.0,1361.85,171.0,15.73,23.43,23.43,89.35,89.29,86.07
LAK,2023,LAK,LAK,Team Level,5on5,35,0.57,0.57,0.57,101889.0,993.37,84.06,64.35,249.19,33.43,530.89,405.09,80.72,85.53,82.14,951.0,416.0,531.0,1898.0,80.0,115.0,10.0,196.0,4.0,469.0,503.0,871.0,1287.0,113.0,262.0,797.0,527.0,130.0,224.0,1040.0,241.0,86.0,28.76,30.38,24.92,30.0,33.0,17.0,1945.97,1367.0,1395.97,159.0,13.37,22.71,22.71,74.72,75.95,74.64,738.2,63.37,48.91,181.7,24.91,402.0,299.11,61.04,63.47,61.11,702.0,318.0,409.0,1429.0,59.0,72.0,14.0,159.0,3.0,347.0,380.0,643.0,961.0,123.0,278.0,753.0,644.0,147.0,190.0,774.0,186.0,60.0,22.7,22.45,18.22,23.0,22.0,14.0,1408.34,1020.0,1010.85,132.0,10.14,16.05,16.42,57.09,57.02,55.95
LAK,2023,LAK,LAK,Team Level,4on5,35,0.11,0.11,0.13,11169.0,27.84,2.64,1.29,4.19,0.86,8.64,19.39,2.62,2.64,2.62,33.0,4.0,6.0,43.0,4.0,2.0,0.0,2.0,0.0,6.0,23.0,29.0,33.0,2.0,4.0,90.0,35.0,18.0,18.0,28.0,3.0,6.0,0.75,0.34,1.55,1.0,1.0,2.0,43.0,37.0,37.0,17.0,0.3,0.37,0.37,2.57,2.57,2.56,186.99,22.29,17.55,38.88,5.98,112.95,58.35,17.77,22.29,17.77,176.0,80.0,98.0,354.0,14.0,20.0,1.0,41.0,2.0,116.0,63.0,162.0,242.0,9.0,18.0,130.0,11.0,6.0,19.0,189.0,41.0,26.0,5.12,4.75,12.41,4.0,4.0,6.0,354.0,256.0,256.0,2.0,4.51,6.83,6.45,20.34,20.34,18.27
LAK,2023,LAK,LAK,Team Level,5on4,35,0.92,0.89,0.87,11651.0,198.12,28.31,17.62,43.54,6.88,113.85,58.79,26.51,28.31,26.51,171.0,98.0,104.0,373.0,22.0,25.0,3.0,37.0,0.0,109.0,76.0,149.0,247.0,8.0,18.0,112.0,12.0,7.0,23.0,170.0,57.0,42.0,4.38,7.36,16.57,0.0,6.0,16.0,373.0,269.0,269.0,4.0,4.61,5.69,5.69,27.23,27.23,26.03,28.44,2.42,1.34,3.82,0.89,9.5,21.03,2.41,2.42,2.41,29.0,10.0,7.0,46.0,4.0,0.0,0.0,2.0,0.0,7.0,26.0,25.0,35.0,5.0,10.0,76.0,27.0,18.0,33.0,30.0,7.0,2.0,0.69,1.07,0.65,1.0,3.0,0.0,46.0,39.0,39.0,33.0,0.31,0.0,0.0,2.73,2.73,2.72
FLA,2023,FLA,FLA,Team Level,other,38,0.56,0.54,0.55,6753.0,79.18,20.23,5.58,14.21,2.67,42.28,25.03,18.78,20.23,18.78,78.0,32.0,49.0,159.0,20.0,8.0,3.0,15.0,1.0,34.0,32.0,58.0,90.0,6.0,10.0,75.0,19.0,9.0,10.0,61.0,15.0,34.0,2.53,2.02,15.67,1.0,3.0,16.0,159.0,110.0,110.0,6.0,1.59,1.58,1.58,20.23,20.23,18.79,65.22,15.98,5.08,12.63,2.54,34.89,19.88,14.7,15.98,14.7,64.0,27.0,47.0,138.0,15.0,7.0,2.0,5.0,0.0,36.0,28.0,49.0,76.0,1.0,2.0,75.0,14.0,18.0,10.0,45.0,18.0,28.0,1.78,2.16,12.04,2.0,2.0,11.0,138.0,91.0,91.0,3.0,1.5,2.08,2.08,15.4,15.4,14.38
FLA,2023,FLA,FLA,Team Level,all,38,0.58,0.57,0.56,137417.0,1362.84,148.87,93.35,328.38,45.75,727.78,516.87,135.78,149.96,136.84,1296.0,565.0,797.0,2658.0,115.0,151.0,24.0,285.0,8.0,645.0,657.0,1181.0,1746.0,156.0,342.0,1118.0,722.0,256.0,291.0,1375.0,297.0,189.0,37.49,37.67,73.71,38.0,32.0,45.0,2684.65,1861.0,1879.47,159.0,21.21,34.1,34.1,135.99,136.84,127.0,1070.28,107.16,72.51,260.89,37.11,570.34,421.99,102.87,106.78,102.53,1025.0,445.0,538.0,2008.0,94.0,115.0,19.0,204.0,4.0,473.0,580.0,931.0,1376.0,157.0,358.0,1078.0,756.0,197.0,324.0,1063.0,273.0,134.0,29.01,33.52,44.62,26.0,32.0,36.0,1988.21,1470.0,1456.76,182.0,16.18,24.99,25.03,98.31,98.05,95.43
FLA,2023,FLA,FLA,Team Level,5on5,38,0.55,0.57,0.55,107812.0,1016.41,84.79,66.08,259.5,34.56,544.59,401.46,81.24,85.88,82.3,963.0,428.0,635.0,2026.0,68.0,116.0,16.0,219.0,7.0,476.0,505.0,895.0,1323.0,136.0,304.0,839.0,660.0,221.0,236.0,1067.0,237.0,87.0,29.43,30.16,25.21,34.0,23.0,11.0,2052.65,1391.0,1409.47,134.0,13.72,25.15,25.15,73.36,74.21,72.91,835.58,69.01,53.9,213.65,28.7,446.33,336.42,66.84,68.63,66.49,783.0,365.0,407.0,1555.0,59.0,87.0,14.0,169.0,4.0,368.0,461.0,724.0,1089.0,142.0,328.0,808.0,701.0,157.0,263.0,870.0,205.0,73.0,22.98,25.46,20.57,23.0,24.0,12.0,1535.21,1148.0,1134.76,155.0,11.19,17.89,17.94,62.27,62.01,60.95
FLA,2023,FLA,FLA,Team Level,4on5,38,0.09,0.15,0.17,11091.0,27.95,1.88,1.28,4.51,0.86,9.37,20.11,1.87,1.88,1.87,28.0,10.0,8.0,46.0,1.0,0.0,0.0,2.0,0.0,5.0,30.0,27.0,37.0,4.0,8.0,90.0,36.0,21.0,14.0,32.0,4.0,2.0,0.81,0.56,0.51,0.0,1.0,0.0,46.0,38.0,38.0,13.0,0.29,0.0,0.0,2.17,2.17,2.16,136.02,19.13,11.56,29.52,4.67,77.49,41.64,18.32,19.13,18.32,139.0,45.0,79.0,263.0,15.0,19.0,3.0,27.0,0.0,60.0,63.0,124.0,169.0,13.0,26.0,88.0,12.0,3.0,29.0,113.0,45.0,26.0,3.44,5.27,10.42,0.0,4.0,11.0,263.0,184.0,184.0,3.0,3.04,4.77,4.76,17.41,17.41,16.89
FLA,2023,FLA,FLA,Team Level,5on4,38,0.93,0.89,0.87,11761.0,239.3,41.98,20.4,50.16,7.66,131.53,70.28,33.89,41.98,33.89,227.0,95.0,105.0,427.0,26.0,27.0,5.0,49.0,0.0,130.0,90.0,201.0,296.0,10.0,20.0,114.0,7.0,5.0,31.0,215.0,41.0,66.0,4.73,4.93,32.32,3.0,5.0,18.0,427.0,322.0,322.0,6.0,5.61,7.36,7.36,40.23,40.23,33.13,33.45,3.04,1.97,5.09,1.21,11.63,24.06,3.02,3.04,3.02,39.0,8.0,5.0,52.0,5.0,2.0,0.0,3.0,0.0,9.0,28.0,34.0,42.0,1.0,2.0,107.0,29.0,19.0,22.0,35.0,5.0,7.0,0.82,0.63,1.6,1.0,2.0,2.0,52.0,47.0,47.0,21.0,0.45,0.26,0.26,3.23,3.23,3.21
VAN,2023,VAN,VAN,Team Level,other,38,0.51,0.49,0.47,5108.0,58.51,16.26,4.18,10.78,2.01,30.13,18.64,15.41,16.26,15.41,56.0,26.0,35.0,117.0,16.0,7.0,3.0,8.0,3.0,24.0,24.0,40.0,66.0,5.0,10.0,56.0,15.0,11.0,8.0,38.0,18.0,26.0,1.56,2.09,12.61,1.0,3.0,12.0,117.0,82.0,82.0,5.0,1.24,2.94,2.94,14.57,14.57,14.21,68.52,15.65,5.47,12.39,2.54,36.58,20.37,14.12,15.65,14.12,64.0,29.0,30.0,123.0,13.0,13.0,3.0,10.0,0.0,31.0,26.0,51.0,80.0,3.0,6.0,55.0,15.0,5.0,9.0,45.0,23.0,25.0,1.75,3.02,10.88,2.0,2.0,9.0,123.0,93.0,93.0,5.0,1.64,5.28,5.28,12.01,12.01,11.73
VAN,2023,VAN,VAN,Team Level,all,38,0.52,0.5,0.49,137774.0,1131.01,123.28,80.11,269.82,38.06,615.25,434.48,117.47,124.76,118.88,1059.0,502.0,630.0,2191.0,143.0,132.0,25.0,223.0,6.0,493.0,564.0,916.0,1418.0,128.0,289.0,1044.0,728.0,245.0,267.0,1136.0,263.0,162.0,32.68,32.61,57.99,50.0,42.0,51.0,2240.26,1561.0,1589.38,171.0,17.95,31.87,31.87,109.36,110.81,108.47,1176.28,115.28,82.25,285.74,40.91,631.72,462.09,109.72,114.44,108.91,1146.0,472.0,604.0,2222.0,97.0,144.0,17.0,208.0,2.0,582.0,585.0,1049.0,1521.0,145.0,325.0,1053.0,711.0,185.0,285.0,1185.0,288.0,145.0,31.57,36.3,47.4,30.0,26.0,41.0,2183.88,1618.0,1599.17,148.0,18.5,31.25,31.3,102.48,101.56,99.15
VAN,2023,VAN,VAN,Team Level,5on5,38,0.5,0.49,0.49,109979.0,855.03,76.52,56.54,215.22,28.61,463.65,339.46,72.95,77.99,74.37,790.0,390.0,480.0,1660.0,95.0,97.0,17.0,185.0,3.0,359.0,441.0,695.0,1085.0,116.0,265.0,796.0,679.0,198.0,227.0,897.0,190.0,93.0,25.68,24.01,26.84,41.0,34.0,20.0,1709.26,1180.0,1208.38,151.0,11.74,21.64,21.64,66.62,68.06,66.99,896.55,77.2,58.55,229.75,30.99,479.22,361.29,74.58,76.36,73.77,861.0,376.0,483.0,1720.0,62.0,107.0,9.0,169.0,2.0,435.0,462.0,799.0,1175.0,124.0,280.0,807.0,665.0,156.0,230.0,937.0,209.0,91.0,24.62,26.43,26.15,26.0,17.0,19.0,1681.88,1237.0,1218.17,117.0,12.21,20.91,20.96,68.44,67.53,66.4
